domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
0-24.sk,WEBG-0001,WY-104547,OK,ns.webglobe.sk,ns2.webglobe.sk,ns3.webglobe.sk,,27.10.2020
007cal.sk,WEBS-0001,WS-62716,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,04.06.2020
007calendar.sk,WEBS-0001,H738469,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,06.06.2020
0902203500.sk,WEBG-0001,PETE-2777,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,02.11.2020
09xy.sk,WEBG-0001,ALL4-0004,OK,norm.ns.cloudflare.com,sara.ns.cloudflare.com,,,19.02.2021
1-2-3-ubytovanie.sk,ISKI-0001,123U-0001-4623,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,19.07.2020
1-5izbovybyt.sk,ISKI-0001,PAVE-0077,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,10.08.2020
1001.sk,WEBS-0001,MARI-0757,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,06.11.2020
100bon.sk,WEBS-0001,WS-3631,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,16.06.2020
100ceskoslovensko.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.11.2020
100csr.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.11.2020
100matolog.sk,WEBS-0001,WS-17683,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,01.11.2020
100percentzovocia.sk,ISKI-0001,MPEX-0002,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,18.08.2020
100rokov-ceskoslovenska.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.11.2020
100rokov-meny.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,15.10.2020
100stefanik.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,20.11.2020
100vyrocie-ceskoslovenska.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.11.2020
100vyrociecsr.sk,ISKI-0001,NROD-0052,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.11.2020
10bodovppc.sk,WEBS-0001,WS-68519,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.10.2020
116000.sk,WEBS-0001,WS-47669,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.05.2020
11jedna.sk,ISKI-0001,FORPSI-S498639,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,18.09.2020
1203minibus.sk,ELBI-0002,ELB-MEQGK1MIHWJ6,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,13.06.2020
1221.sk,WEBS-0001,WS-19814,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,02.11.2020
1224.sk,WEBG-0001,SOSI-0001,OK,ns1.dnsbackup.net,ns2.dnsbackup.net,ns1.nameserver.sk,ns2.nameserver.sk,28.09.2020
123inzerat.sk,WEBG-0001,RADO-0077,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,28.10.2020
123jobs.sk,ISKI-0001,FORPSI-S613311,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,22.10.2020
123klik.sk,WEBS-0001,WS-4472,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,14.05.2020
123paintball.sk,ISKI-0001,EDEN-0006,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,18.08.2020
123shop.sk,WEBS-0001,WS-45877,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.05.2020
123u.sk,ISKI-0001,123U-0001-4623,OK,ns1.123u.sk,ns2.123u.sk,,,16.08.2020
123ubytko.sk,ISKI-0001,123U-0001-4623,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,18.10.2020
123vinyl.sk,ISKI-0001,SPAC-0003,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,13.11.2020
123zorbing.sk,ISKI-0001,EDEN-0006,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,18.08.2020
127-0-0-1.sk,WEBS-0001,WS-41427,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,17.02.2020
1337.sk,WEBS-0001,WS-5066,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,04.12.2019
13detail.sk,WEBS-0001,WS-67163,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.05.2020
1500.sk,ISKI-0001,FORPSI-S617523,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,13.07.2020
15tykrok.sk,WEBS-0001,WS-71285,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,29.07.2020
17teen.sk,ISKI-0001,FORPSI-S669217,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,02.07.2020
18123.sk,ELBI-0002,ELB-O7C37EQT6LW2,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,09.11.2020
18f6746c.sk,WEBS-0001,WS-66216,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,24.04.2020
19hole.sk,WEBS-0001,WS-66260,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,25.04.2020
1day.sk,ISKI-0001,1DAY-0001-4623,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,14.10.2021
1home.sk,ELBI-0002,BLUE-0057,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,06.08.2020
1manshop.sk,ISKI-0001,FORPSI-S668608,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,23.06.2020
1n-bag.sk,ISKI-0001,FORPSI-S667568,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,10.06.2020
1sfc.sk,ISKI-0001,FINP-0004-4623,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,06.11.2020
1sn.sk,WEBS-0001,WS-34174,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,01.11.2020
2-5izbovybyt.sk,ISKI-0001,PAVE-0077,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,10.08.2020
2020production.sk,ISKI-0001,FORPSI-S676250,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,01.10.2020
2020volby.sk,WEBS-0001,WS-62547,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,21.10.2020
2021.sk,WEBS-0001,WS-5695,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,18.11.2020
21krokov.sk,WEBS-0001,WS-32379,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,19.07.2020
21web.sk,WEBS-0001,WS-70296,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.07.2020
232architekti.sk,WEBS-0001,WS-69202,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,28.09.2020
238.sk,WEBS-0001,WS-71605,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,03.08.2020
2454.sk,WEBS-0001,WS-76130,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,22.10.2020
247.sk,WEBS-0001,MAZK-0001,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,15.06.2020
24mtbikejam.sk,ELBI-0002,JSWO-0001,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,15.01.2020
24plus.sk,WEBS-0001,WS-21979,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,01.11.2020
24video.sk,ISKI-0001,FORPSI-S610352,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,08.08.2020
255.sk,WEBS-0001,WS-40007,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,10.05.2020
26tyzdnov.sk,WEBS-0001,WS-21728,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,06.07.2020
28-06-2014.sk,WEBS-0001,LGAA-68497,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.03.2020
2cosmetics.sk,WEBG-0001,WY-111497,OK,ns1.wy.sk,ns2.wy.sk,ns1.wydns.net,ns2.wydns.net,30.06.2020
2ems.sk,WEBS-0001,WS-68820,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,10.06.2020
