ID reg,secure domains,insecure domains,percent secure
WEBS-0001,91573,43266,67.91
WEBG-0001,13377,25878,34.08
INCZ-0001,9675,18168,34.75
GRAN-0063CZ,3509,13779,20.3
ELBI-0002,1904,3169,37.53
ZONE-0002,1370,6922,16.52
REG-366265,592,229,72.11
REG-379549,549,359,60.46
UBOM-0334,529,1747,23.24
FUEL-0002,251,628,28.56
REG-361069,145,11132,1.29
K3GR-0001,145,39,78.8
IPEK-0001,125,32402,0.38
GAYA-0001,120,49,71.01
NETH-0005,117,771,13.18
Q1SK-0001,88,76,53.66
ACTI-0024,87,31202,0.28
REG-366491,84,6571,1.26
PLAT-0008,60,2639,2.22
DIGI-0100,41,38,51.9
QDIG-0003,40,508,7.3
MILO-0245,38,205,15.64
EXOT-0004,34,16770,0.2
MCPO-0003,34,81,29.57
CRAP-0001,26,12,68.42
DSPR-0002,25,14,64.1
MUCH-0003,22,24,47.83
MAKR-0001,21,138,13.21
KEYS-1001,18,3192,0.56
DOTJ-0001,18,9,66.67
USRS-0002,17,256,6.23
EURO-1052,16,2481,0.64
EVAH-0016,16,1985,0.8
CAND-0016,16,13,55.17
EMAR-0005,16,9,64.0
NETH-0006,16,4,80.0
TNET-0001,16,3,84.21
UXSO-0001,15,9,62.5
SLOV-0006,14,2894,0.48
ZENM-0002,14,40,25.93
BBON-0001,14,7,66.67
MRIO-0022,13,35,27.08
GAND-0081,12,502,2.33
ONIK-0002,12,156,7.14
REG-370323,12,9,57.14
MADE-0005,12,5,70.59
JEEF-0001,12,2,85.71
LEVO-0001,10,0,100.0
MARK-0292,9,1381,0.65
REG-367149,9,896,0.99
HUGO-0001,8,53,13.11
TOMI-0041,8,5,61.54
JPDD-0002,8,3,72.73
SWAN-0004,7,4094,0.17
DELN-0001,7,72,8.86
JOZE-2815,7,2,77.78
PORE-0004,7,1,87.5
SPEE-0025,6,2373,0.25
SLOV-1417,6,2092,0.29
COMC-0005,6,55,9.84
AARI-0002,6,44,12.0
MARK-0176,6,8,42.86
UNIV-0040,6,0,100.0
IXIN-0001,5,178,2.73
NAME-0004,5,76,6.17
DUVA-0001,5,65,7.14
CREO-0007,5,24,17.24
SLOV-0063,5,23,17.86
MARI-0532,5,15,25.0
PAVE-0472,5,14,26.32
WDSG-0001,5,10,33.33
SAGE-0006,5,6,45.45
OPEY-0001,5,4,55.56
JOZE-0696,5,4,55.56
GABR-0283,5,3,62.5
SYST-0017,5,2,71.43
INFO-0074,5,1,83.33
ELBO-0005,5,1,83.33
ZERO-0008,4,36,10.0
EURO-0001,4,20,16.67
ACRO-0011,4,2,66.67
MART-2448,4,1,80.0
DIGI-0056,4,0,100.0
WEBY-0002,3,3475,0.09
CSCG-0001,3,2976,0.1
NETI-0001,3,1192,0.25
TRIT-0008,3,114,2.56
SINT-0001,3,73,3.95
UCOM-0001,3,52,5.45
VYKU-0005,3,44,6.38
COOL-0033,3,44,6.38
LEXS-0003,3,42,6.67
DECE-0001,3,33,8.33
ROMA-0139,3,22,12.0
FREE-0030,3,10,23.08
DNOM-0002,3,9,25.0
ADAC-0006,3,8,27.27
RUPK-0001,3,8,27.27
SITE-0002,3,6,33.33
SINC-0002,3,3,50.0
SECU-0026,3,2,60.0
5OKS-0001,3,1,75.0
AINF-0003,3,1,75.0
SALA-0008,3,1,75.0
TOPA-0004,3,0,100.0
STAN-0022,2,899,0.22
DSID-0001,2,455,0.44
RING-0001,2,394,0.51
EPIX-0002,2,330,0.6
TOPZ-0001,2,249,0.8
UNIO-0012,2,227,0.87
SPSE-0001,2,201,0.99
NROD-0057,2,169,1.17
IMPR-0012,2,129,1.53
USPO-0002,2,94,2.08
BBXI-0001,2,36,5.26
LIFE-0022,2,36,5.26
COMP-0031,2,32,5.88
MART-1768,2,30,6.25
BANN-0001,2,30,6.25
BINA-0008,2,26,7.14
IUNI-0002,2,23,8.0
RUPO-0002,2,19,9.52
INTE-0050,2,18,10.0
FUSI-0005,2,4,33.33
MAYE-0003,2,2,50.0
ENTI-0007,2,2,50.0
3MTE-0003,2,1,66.67
MBSI-0001,2,1,66.67
NETI-0019,2,1,66.67
KONG-0002,2,1,66.67
SLOV-1138,2,1,66.67
LAER-0002,2,1,66.67
ACCE-0025,2,0,100.0
FINO-0004,2,0,100.0
EURO-0005,1,2253,0.04
MARE-0015,1,1376,0.07
RJAR-0001,1,666,0.15
MAMM-0001,1,593,0.17
WEBC-0006,1,531,0.19
NETR-0002,1,505,0.2
MYST-0008,1,440,0.23
VISS-0001,1,438,0.23
BLUE-0058,1,361,0.28
NAME-0005,1,350,0.28
BRAN-0167,1,263,0.38
EURO-0941,1,227,0.44
VLAD-0050,1,226,0.44
VDIU-0001,1,212,0.47
MILA-0279,1,205,0.49
INET-0003,1,185,0.54
ABSO-0003,1,159,0.62
DISC-0015,1,135,0.74
CCTE-0001,1,133,0.75
OSYS-0002,1,121,0.82
ONEC-0007,1,119,0.83
MILL-0001,1,97,1.02
CSWE-0002,1,96,1.03
KOLL-0022,1,94,1.05
ZOOO-0001,1,93,1.06
MCPS-0002,1,79,1.25
GREE-0084,1,78,1.27
CNSI-0001,1,69,1.43
VIRT-0017,1,67,1.47
DOBI-0004,1,64,1.54
MARK-0071,1,63,1.56
MSCI-0001,1,60,1.64
BEES-0002,1,58,1.69
STUF-0001,1,57,1.72
